Country,Economy,Plastic waste generated,Inadequately managed plastic waste,Plastic waste littered,Mismanaged plastic waste rate,Mismanaged plastic waste 2010,"Mismanaged plastic waste in 2025
 [tonnes]7",Legislation,Restriction,Agricultural employment,Export/Import,Foreign direct investment
Afghanistan,LI,,,,,,,Restriction,Retail Distribution and Importation,2.0,70.6,-4.6
Albania,UMI,"174,391.68","77,896.58","3,487.83",0.03,"29,705.31"," 63,051 ",Restriction,"Manufacture, Retail Distribution, and Importation",3.1,118.8,-9.6
Algeria,UMI,"2,374,213.57","1,378,692.71","47,484.27",0.09,"520,554.60"," 1,017,444 ",Restriction,Importation,5.0,209.8,5.7
Andorra,HI,,,,,,,Restriction,Retail Distribution and Importation,1.3,87.2,2.6
Angola,LMI,"235,588.95","166,596.76","4,711.78",0.05,"62,527.62"," 136,770 ",Disposal regulation,,0.2,376.0,23.8
Antigua & Barbuda,HI,"43,932.56","2,555.27",878.65,0.05,"1,253.38"," 1,385 ",Restriction,Retail Distribution and Importation,2.6,43.0,4.1
Argentina,UMI,"3,000,177.80","372,261.27","60,003.56",0.03,"157,776.66"," 320,197 ",Disposal regulation,,3.7,91.3,-1.9
Armenia,UMI,,,,,,,Disposal regulation,,1.8,90.9,1.1
Australia,HI,"1,902,590.78",0.00,"38,051.82",0.00,"13,888.91"," 24,653 ",Extended Producer Responsibility,,0.5,326.2,22.5
Austria,HI,,,,,,,Restriction,Manufacture,2.3,155.3,-17.9
Azerbaijan,UMI,,,,,,,Disposal regulation,,2.2,104.0,1.5
Bahamas,HI,"132,492.19","1,001.80","2,649.84",0.01,"1,332.85"," 1,718 ",New regulation proposed,,3.7,78.5,-2.0
Bahrain,HI,"97,742.80","10,033.01","1,954.86",0.02,"4,375.57"," 9,915 ",Disposal regulation,,1.5,65.9,2.5
Bangladesh,LMI,"2,422,831.93","2,108,603.46","48,456.64",0.03,"787,326.94"," 2,210,230 ",Restriction,"Manufacture, Retail Distribution, and Importation",6.2,54.2,0.7
Barbados,HI,"157,109.52","6,399.62","3,142.19",0.03,"3,482.76"," 3,719 ",Disposal regulation,,1.2,61.3,2.1
Belarus,UMI,,,,,,,No national law found,,1.4,27.1,1.3
Belgium,HI,"375,729.58",0.00,"7,514.59",0.00,"2,742.83"," 5,739 ",No national law found,,1.2,175.6,-12.0
Belize,UMI,"34,567.79","9,972.41",691.36,0.05,"3,892.28"," 6,042 ",New regulation proposed,,,,
Benin,LI,"138,896.49","115,072.71","2,777.93",0.04,"43,015.48"," 119,467 ",Restriction,"Manufacture, Retail Distribution, and Importation",3.4,34.6,0.5
Bhutan,LMI,,,,,,,Restriction,Retail Distribution and Importation,3.9,105.5,2.5
Bolivia,LMI,,,,,,,Extended Producer Responsibility,,1.4,415.5,10.6
Bosnia and Herzegovina,UMI,"83,972.46","33,812.62","1,679.45",0.06,"12,954.61"," 20,201 ",Restriction,Retail Distribution,1.0,56.8,5.9
Botswana,UMI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",4.7,83.0,0.9
Brazil,UMI,"12,271,559.02","1,046,086.62","245,431.18",0.02,"471,404.00"," 954,198 ",Extended Producer Responsibility,,5.5,160.9,2.8
Brunei,HI,"9,236.09",71.04,184.72,0.00,93.35, 341 ,Disposal regulation,,4.3,66.6,3.2
Bulgaria,UMI,"153,372.23","48,272.80","3,067.44",0.05,"18,739.19"," 25,770 ",Levy/tax,,2.8,151.5,3.5
Burkina Faso,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",2.6,63.4,2.4
Burundi,LI,,,,,,,Levy/tax,,1.0,267.8,32.7
Cambodia,LMI,"91,405.39","79,502.35","1,828.11",0.06,"29,685.62"," 62,834 ",Restriction,"Manufacture, Retail Distribution, and Importation",3.5,147.0,3.4
Cameroon,LMI,"91,021.71","74,106.61","1,820.43",0.04,"27,713.37"," 71,863 ",Restriction,"Manufacture, Retail Distribution, and Importation",2.5,130.3,-1.4
Canada,HI,"1,090,326.04",0.00,"21,806.52",0.00,"7,959.38"," 14,668 ",No national law found,,12.0,72.5,2.0
Cape Verde,LMI,"33,815.36","24,932.63",676.31,0.05,"9,347.26"," 18,475 ",Restriction,"Manufacture, Retail Distribution, and Importation",3.8,61.0,1.5
Central African Republic,LI,,,,,,,Disposal regulation,,10.1,107.2,1.9
Chad,LI,,,,,,,Restriction,Retail Distribution and Importation,7.7,162.0,1.6
Chile,HI,"664,804.50","46,303.69","13,296.09",0.01,"21,753.92"," 42,562 ",Restriction,Retail Distribution,3.7,161.8,2.7
China,UMI,"31,665,388.01","23,530,299.87","633,307.76",0.09,"8,819,716.78"," 17,814,777 ",Restriction,"Manufacture, Retail Distribution, and Importation",,,
Colombia,UMI,"1,075,293.93","231,023.70","21,505.88",0.03,"92,173.30"," 179,973 ",Restriction,Retail Distribution,4.9,66.5,0.4
Comoros,LMI,"187,329.48","155,245.69","3,746.59",0.17,"58,032.18"," 100,870 ",Disposal regulation,,2.7,192.3,0.0
Congo Rep of,LMI,"58,189.23","44,769.29","1,163.78",0.05,"16,765.57"," 39,853 ",Restriction,Manufacture and Importation,6.8,118.4,3.7
"Congo, Dem rep. of",LI,"48,153.51","40,703.02",963.07,0.04,"15,208.12"," 43,480 ",Restriction,"Manufacture, Retail Distribution, and Importation",6.3,87.0,2.0
Costa Rica,UMI,"638,964.68","102,536.41","12,779.29",0.05,"42,090.23"," 75,895 ",New regulation proposed,,1.2,88.3,-1.1
Cote d'Ivoire,LMI,"637,419.79","520,287.67","12,748.40",0.09,"194,558.16"," 537,163 ",Restriction,"Manufacture, Retail Distribution, and Importation",9.2,57.5,2.0
Croatia,HI,"402,218.14","37,053.07","8,044.36",0.03,"16,460.56"," 19,593 ",Restriction,Retail Distribution,1.3,93.9,3.9
Cuba,UMI,"1,005,222.21","228,196.43","20,104.44",0.02,"90,629.82"," 180,454 ",Disposal regulation,,5.0,168.3,-48.3
Cyprus,HI,"207,924.13",831.45,"4,158.48",0.01,"1,821.33"," 2,611 ",Restriction,Retail Distribution,1.0,159.2,1.5
Czech Republic,HI,,,,,,,Restriction,Retail Distribution,6.9,101.1,2.1
Denmark,HI,"245,324.49",0.00,"4,906.49",0.00,"1,790.87"," 4,233 ",Levy/tax,,4.7,108.1,4.1
Djibouti,LMI,"63,607.52","46,190.85","1,272.15",0.08,"17,324.00"," 45,612 ",Restriction,Retail Distribution and Importation,0.1,30.8,2.3
Dominica,UMI,"10,393.05","1,937.64",207.86,0.03,783.11," 1,428 ",New regulation proposed,,5.8,51.5,0.5
Dominican Republic,UMI,"1,180,552.83","300,295.14","23,611.06",0.04,"118,225.76"," 228,671 ",No national law found,,10.6,139.3,2.5
Ecuador,UMI,"936,551.02","280,947.60","18,731.02",0.05,"109,382.70"," 211,021 ",Disposal regulation,,15.0,60.6,0.1
Egypt,LMI,"3,858,943.55","2,572,170.05","77,178.87",0.12,"967,012.36"," 1,937,428 ",Disposal regulation,,6.9,128.1,4.0
El Salvador,LMI,"938,113.59","306,530.93","18,762.27",0.05,"118,732.02"," 226,860 ",Disposal regulation,,7.9,110.6,8.9
Equatorial Guinea,UMI,"50,419.44","15,366.70","1,008.39",0.05,"5,976.91"," 14,124 ",Disposal regulation,,22.6,86.5,2.9
Eritrea,LI,"56,663.43","43,410.90","1,133.27",0.04,"16,258.62"," 43,484 ",Restriction,"Manufacture, Retail Distribution, and Importation",,124.2,9.5
Estonia,HI,"154,237.56","13,295.70","3,084.75",0.02,"5,978.87"," 8,367 ",Restriction,Retail Distribution,2.8,82.8,6.1
Ethiopia,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",8.7,40.0,4.1
Fiji,UMI,"168,430.45","131,582.25","3,368.61",0.15,"49,257.06"," 70,995 ",Restriction,Retail Distribution,19.2,60.4,1.7
Finland,HI,"682,836.05",0.00,"13,656.72",0.00,"4,984.70"," 6,422 ",Extended Producer Responsibility,,2.6,75.5,4.9
France,HI,"3,302,561.97",0.00,"66,051.24",0.00,"24,108.70"," 34,671 ",Restriction,"Manufacture, Retail Distribution, and Importation",11.1,132.3,3.0
Gabon,UMI,"46,371.69","15,750.39",927.43,0.02,"6,087.41"," 15,446 ",Restriction,Retail Distribution and Importation,,189.1,8.3
Gambia,LI,"62,814.09","52,484.97","1,256.28",0.04,"19,615.56"," 53,498 ",Restriction,"Manufacture, Retail Distribution, and Importation",17.1,110.2,8.1
Georgia,UMI,"75,049.24","38,149.15","1,500.98",0.04,"14,472.30"," 24,532 ",Extended Producer Responsibility,,3.2,,-2.1
Germany,HI,"4,279,290.01",0.00,"85,585.80",0.01,"31,238.82"," 33,317 ",New regulation proposed,,17.4,48.8,1.1
Ghana,LMI,"302,191.79","244,834.89","6,043.84",0.03,"91,570.73"," 325,116 ",No national law found,,7.1,94.9,2.2
Greece,HI,"1,949,145.70",0.00,"38,982.91",0.00,"14,228.76"," 18,621 ",Restriction,Retail Distribution and Importation,14.3,87.6,10.1
Grenada,UMI,"31,128.31","5,535.51",622.57,0.06,"2,247.70"," 2,452 ",Disposal regulation,,12.5,66.8,4.5
Guatemala,UMI,"667,491.32","237,508.44","13,349.83",0.10,"91,563.27"," 157,698 ",Disposal regulation,,38.0,77.3,8.0
Guinea-Bissau,LI,"64,875.29","54,155.61","1,297.51",0.05,"20,240.39"," 51,947 ",Restriction,"Manufacture, Retail Distribution, and Importation",25.9,52.9,1.6
Guyana,UMI,"299,541.91","109,084.19","5,990.84",0.22,"42,002.38"," 36,103 ",Disposal regulation,,18.3,26.2,
Haiti,LI,"819,434.52","387,416.26","16,388.69",0.04,"147,388.81"," 324,178 ",Restriction,"Manufacture, Retail Distribution, and Importation",,107.7,5.1
Honduras,LMI,"624,191.14","249,539.26","12,483.82",0.08,"95,638.42"," 189,169 ",Disposal regulation,,,88.5,7.5
Hungary,HI,,,,,,,Extended Producer Responsibility,,13.0,80.3,2.8
Iceland,HI,"81,964.09",0.00,"1,639.28",0.01,598.34, 883 ,Levy/tax,,30.7,123.3,2.6
India,LMI,"1,880,559.13","1,605,728.86","37,611.18",0.01,"599,819.12"," 2,881,294 ",Disposal regulation,,,107.9,9.9
Indonesia,LMI,"10,660,504.72","8,600,092.93","213,210.09",0.05,"3,216,855.61"," 7,415,202 ",Extended Producer Responsibility,,9.4,29.1,4.7
Iraq,UMI,"65,396.22","41,330.22","1,307.92",0.07,"15,562.92"," 47,694 ",No national law found,,33.3,90.4,2.0
Ireland,HI,"1,604,106.11",0.00,"32,082.12",0.01,"11,709.97"," 14,045 ",Restriction,Retail Distribution,9.3,56.1,0.7
Israel,HI,"1,974,895.53","12,576.71","39,497.91",0.01,"19,007.24"," 28,211 ",Restriction,Retail Distribution,16.1,133.2,5.3
Italy,HI,"4,487,742.66",0.00,"89,754.85",0.00,"32,760.52"," 45,058 ",Restriction,"Manufacture, Retail Distribution, and Importation",27.5,49.0,3.2
Jamaica,UMI,"96,209.23","25,525.36","1,924.18",0.01,"10,019.09"," 59,575 ",Restriction,"Manufacture, Retail Distribution, and Importation",26.8,38.2,1.5
Japan,HI,"19,605,619.66",0.00,"392,112.39",0.00,"143,121.02"," 177,241 ",Restriction,Importation,27.5,45.9,1.3
Jordan,UMI,"7,943.21","4,600.11",158.86,0.09,"1,737.02"," 2,975 ",Restriction,"Manufacture, Retail Distribution, and Importation",36.1,92.0,3.0
Kazakhstan,UMI,,,,,,,Disposal regulation,,15.3,99.0,1.9
Kenya,LMI,"73,299.02","60,610.45","1,465.98",0.02,"22,657.90"," 87,109 ",Restriction,"Manufacture, Retail Distribution, and Importation",9.5,55.0,3.4
Kiribati,LMI,"9,666.49","8,147.99",193.33,0.09,"3,044.58"," 6,977 ",Levy/tax,,10.0,80.0,7.2
"Korea, North",LI,"930,485.84","815,165.23","18,609.72",0.05,"304,327.86"," 610,607 ",No national law found,,15.0,99.5,2.0
"Korea, South (Republic of Korea)",HI,"4,622,829.62",0.01,"92,456.59",0.00,"33,746.66"," 52,764 ",Restriction,Retail Distribution,28.7,123.8,16.7
Kuwait,HI,"1,567,770.08",122.44,"31,355.40",0.01,"11,489.41"," 13,479 ",No national law found,,12.1,62.9,4.8
Kyrgyzstan,LMI,,,,,,,No national law found,,23.0,76.6,2.3
Lao,LMI,,,,,,,Disposal regulation,,13.5,90.5,12.5
Latvia,HI,"176,267.32","24,650.93","3,525.35",0.02,"10,284.34"," 16,654 ",Levy/tax,,16.6,82.6,4.9
Lebanon,UMI,"365,002.61","123,699.68","7,300.05",0.03,"47,814.90"," 101,852 ",Restriction,Manufacture,7.2,48.1,0.2
Lesotho,LMI,,,,,,,Levy/tax,,,118.2,-0.4
Liberia,LI,"179,810.28","151,821.71","3,596.21",0.07,"56,727.54"," 142,787 ",Disposal regulation,,39.5,,6.2
Libya,UMI,"580,788.36","132,984.75","11,615.77",0.04,"52,779.19"," 102,577 ",Disposal regulation,,20.0,69.8,1.2
Lichtenstein,HI,,,,,,,Restriction,Manufacture,7.0,91.0,5.9
Lithuania,HI,"58,349.87","8,363.56","1,167.00",0.02,"3,478.65"," 5,478 ",Restriction,Retail Distribution,3.5,89.5,5.0
Luxembourg,HI,,,,,,,Restriction,Retail Distribution,17.6,111.8,6.2
Macedonia,UMI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",19.7,83.7,1.5
Madagascar,LI,"110,173.64","92,377.46","2,203.47",0.01,"34,522.04"," 177,625 ",Restriction,"Manufacture, Retail Distribution, and Importation",9.0,139.9,10.1
Malawi,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",30.5,94.8,3.3
Malaysia,UMI,"4,505,717.20","2,476,509.72","90,114.34",0.11,"936,817.78"," 1,765,977 ",No national law found,,25.2,76.1,3.0
Maldives,UMI,"126,076.82","83,694.58","2,521.54",0.22,"31,468.88"," 40,143 ",No national law found,,32.2,86.7,2.1
Mali,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",22.8,35.2,6.1
Malta,HI,"86,085.23","5,455.81","1,721.70",0.02,"2,619.79"," 3,757 ",Levy/tax,,33.4,67.8,1.2
Marshall Islands,UMI,"11,117.66","8,509.58",222.35,0.15,"3,187.16"," 5,717 ",Restriction,"Manufacture, Retail Distribution, and Importation",7.9,118.4,1.9
