Entity,Code,Year,Fish and seafood | 00002960 || Production | 005511 || tonnes
,,,
Philippines,PHL,1961,497900
Philippines,PHL,1962,528530
Philippines,PHL,1963,590500
Philippines,PHL,1964,645260
Philippines,PHL,1965,713610
Philippines,PHL,1966,753230
Philippines,PHL,1967,794880
Philippines,PHL,1968,978810
Philippines,PHL,1969,959100
Philippines,PHL,1970,1099500
Philippines,PHL,1971,1116860
Philippines,PHL,1972,1221550
Philippines,PHL,1973,1305320
Philippines,PHL,1974,1373330
Philippines,PHL,1975,1446030
Philippines,PHL,1976,1351980
Philippines,PHL,1977,1472510
Philippines,PHL,1978,1501360
Philippines,PHL,1979,1498410
Philippines,PHL,1980,1575950
Philippines,PHL,1981,1686270
Philippines,PHL,1982,1787020
Philippines,PHL,1983,1997180
Philippines,PHL,1984,1934370
Philippines,PHL,1985,1866090
Philippines,PHL,1986,1916580
Philippines,PHL,1987,1988990
Philippines,PHL,1988,2010630
Philippines,PHL,1989,2099070
Philippines,PHL,1990,2209010
Philippines,PHL,1991,2312010
Philippines,PHL,1992,2272020
Philippines,PHL,1993,2226510
Philippines,PHL,1994,2233080
Philippines,PHL,1995,2222460
Philippines,PHL,1996,2133340
Philippines,PHL,1997,2133010
Philippines,PHL,1998,2145680
Philippines,PHL,1999,2223980
Philippines,PHL,2000,2290010
Philippines,PHL,2001,2383490
Philippines,PHL,2002,2473450
Philippines,PHL,2003,2625510
Philippines,PHL,2004,2723590
Philippines,PHL,2005,2826990
Philippines,PHL,2006,2942490
Philippines,PHL,2007,3209410
Philippines,PHL,2008,3302480
Philippines,PHL,2009,3339990
Philippines,PHL,2010,3244890
Philippines,PHL,2011,2985440
Philippines,PHL,2012,2994630
Philippines,PHL,2013,3014270
Philippines,PHL,2014,3034330
Philippines,PHL,2015,2933270
Philippines,PHL,2016,2821220
Philippines,PHL,2017,2709520
Philippines,PHL,2018,2875630
Philippines,PHL,2019,2871960
Philippines,PHL,2020,2871960
