FID,Date,Latitude,Longitude,Oceans,Regions,SubRegions,Measurement,Unit,Density Range,Density Class,Sampling Method,Short Reference,DOI,Organization,Keywords,Accession Number,Accession Link,GlobalID,Long Reference,Beach Location,Ocean Bottom Depth (m),Sediment Sample Depth (m),Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),State,Country,Marine Setting,x,y
121967,6/25/2018 12:00:00 AM,31.680124,-114.495158,Pacific Ocean,Gulf of California,,0,pieces/m3,0-100,Very Low,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,59b755d6-c931-4ebf-8a17-fc97120d3619,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",SantaClara,,,,8,,,Sonora,Mexico,Beach,-12745542.6869,3721394.7848
121896,6/11/2018 12:00:00 AM,22.375112,-105.68474,Pacific Ocean,,,3526.093089,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,fd69d820-2d58-4025-90ef-8dd44f333ee4,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Novillero,,,,7,,,Nayarit,Mexico,Beach,-11764771.4414,2556621.9008
122013,7/7/2018 12:00:00 AM,31.828258,-116.609493,Pacific Ocean,,,0,pieces/m3,0-100,Very Low,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,8ce78126-cfc7-43f0-93bb-69b1eea5b3b8,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Ensenada,,,,4,,,Baja California,Mexico,Beach,-12980909.3824,3740787.8734
121990,7/11/2018 12:00:00 AM,26.729392,-111.906818,Pacific Ocean,Gulf of California,,1410.437236,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,5aefb586-fc88-4500-b156-edcd7384ae00,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Burro,,,,1,,,Baja California Sur,Mexico,Beach,-12457409.9961,3089703.3454
121472,6/26/2019 12:00:00 AM,28.152519,-16.43179,Atlantic Ocean,,,4000,pieces/m3,500-30000,Medium,Stainless steel spoon,González-Hernández et al. 2020,https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,9cdc2c17-cd7f-4ad1-bdb9-aa9b286820ed,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",Playa Grande beach,,,2,10,,,Canary Islands,Spain,Beach,-1829178.4956,3268216.5901
122059,5/18/2018 12:00:00 AM,21.526733,-87.37755,Atlantic Ocean,Gulf of Mexico,,0,pieces/m3,0-100,Very Low,PVC cylinder,Cruz-Salas et al. 2022,https://doi.org/10.1016/j.rsma.2022.102423,"Universidad Autónoma de Baja California, Mexico",Holbox island; Mexico,278269,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278269,6df7f7e7-2487-4a01-a628-03053ccad6f4,"Cruz-Salas, A.A., J.C. Alvarez-Zeferino, S. Ojeda-Benítez, S.E. Cruz-Sotelo, A. Vázquez-Morillas. 2022. Solid waste and microplastics on the beaches of Holbox island, Mexico. Regional Studies in Marine Science 53, 102423. https://doi.org/10.1016/j.rsma.2022.102423",Holbox island,,,,10,,,Quintana Roo,Mexico,Beach,-9726824.3728,2454797.8421
121489,7/9/2019 12:00:00 AM,28.152519,-16.43179,Atlantic Ocean,,,55840,pieces/m3,>40000,Very High,Stainless steel spoon,González-Hernández et al. 2020,https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,417215fe-f54c-4814-b931-a1bdb6f6187f,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",Playa Grande beach,,,4,7,,,Canary Islands,Spain,Beach,-1829178.4956,3268216.5901
121495,7/16/2019 12:00:00 AM,28.152519,-16.43179,Atlantic Ocean,,,28320,pieces/m3,500-30000,Medium,Stainless steel spoon,González-Hernández et al. 2020,https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,c6159ca7-1c45-4a04-8b37-7c42a0ce3999,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",Playa Grande beach,,,5,3,,,Canary Islands,Spain,Beach,-1829178.4956,3268216.5901
122036,7/17/2018 12:00:00 AM,22.894645,-109.89479,Pacific Ocean,Gulf of California,,3526.093089,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,35087f96-0057-4245-82e3-621c0c5fd9a5,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Medano ,,,,7,,,Baja California Sur,Mexico,Beach,-12233432.0636,2619282.695
121710,4/8/2018 12:00:00 AM,22.282206,-97.798196,Atlantic Ocean,Gulf of Mexico,,1410.437236,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,0296ff37-1174-49fe-b8cf-75195b4b70ee,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Miramar,,,,1,,,Tamaulipas,Mexico,Beach,-10886845.3792,2545441.3291
