Entity,Code,Year,Annual plastic production between 1950 and 2019,Plastic use - projections
Americas (excl. USA),,2019,,43525500
Americas (excl. USA),,2020,,43477900
Americas (excl. USA),,2021,,44671200
Americas (excl. USA),,2022,,45895500
Americas (excl. USA),,2023,,46997100
Americas (excl. USA),,2024,,48124400
Americas (excl. USA),,2025,,49200300
Americas (excl. USA),,2026,,50259100
Americas (excl. USA),,2027,,51264800
Americas (excl. USA),,2028,,52327000
Americas (excl. USA),,2029,,53384700
Americas (excl. USA),,2030,,54479900
Americas (excl. USA),,2031,,55602000
Americas (excl. USA),,2032,,56743700
Americas (excl. USA),,2033,,57887600
Americas (excl. USA),,2034,,59051400
Americas (excl. USA),,2035,,60118500
Americas (excl. USA),,2036,,61140000
Americas (excl. USA),,2037,,62466100
Americas (excl. USA),,2038,,63811300
Americas (excl. USA),,2039,,65183600
Americas (excl. USA),,2040,,66581600
Americas (excl. USA),,2041,,67975900
Americas (excl. USA),,2042,,69390100
Americas (excl. USA),,2043,,70818100
Americas (excl. USA),,2044,,72254100
Americas (excl. USA),,2045,,73676000
Americas (excl. USA),,2046,,75110200
Americas (excl. USA),,2047,,76530100
Americas (excl. USA),,2048,,77958800
Americas (excl. USA),,2049,,79387600
Americas (excl. USA),,2050,,80830000
Americas (excl. USA),,2051,,82275300
Americas (excl. USA),,2052,,83733900
Americas (excl. USA),,2053,,85207500
Americas (excl. USA),,2054,,86693600
Americas (excl. USA),,2055,,88196600
Americas (excl. USA),,2056,,89716000
Americas (excl. USA),,2057,,91256900
Americas (excl. USA),,2058,,92820200
Americas (excl. USA),,2059,,94412800
Americas (excl. USA),,2060,,96040300
Asia (excl. China and India),,2019,,76801700
Asia (excl. China and India),,2020,,74936400
Asia (excl. China and India),,2021,,76498400
Asia (excl. China and India),,2022,,78208200
Asia (excl. China and India),,2023,,79947500
Asia (excl. China and India),,2024,,81777600
Asia (excl. China and India),,2025,,83734200
Asia (excl. China and India),,2026,,85822200
Asia (excl. China and India),,2027,,87870500
Asia (excl. China and India),,2028,,90168600
Asia (excl. China and India),,2029,,92599800
Asia (excl. China and India),,2030,,95198300
Asia (excl. China and India),,2031,,97834400
Asia (excl. China and India),,2032,,100622400
Asia (excl. China and India),,2033,,103539500
Asia (excl. China and India),,2034,,106581100
Asia (excl. China and India),,2035,,109708400
Asia (excl. China and India),,2036,,112875100
Asia (excl. China and India),,2037,,116167896
Asia (excl. China and India),,2038,,119547900
Asia (excl. China and India),,2039,,122946990
Asia (excl. China and India),,2040,,126419900
Asia (excl. China and India),,2041,,129993900
Asia (excl. China and India),,2042,,133528504
Asia (excl. China and India),,2043,,137102400
Asia (excl. China and India),,2044,,140725300
Asia (excl. China and India),,2045,,144421090
Asia (excl. China and India),,2046,,148164400
Asia (excl. China and India),,2047,,151958500
Asia (excl. China and India),,2048,,155851300
Asia (excl. China and India),,2049,,159823800
Asia (excl. China and India),,2050,,163893800
Asia (excl. China and India),,2051,,168117000
Asia (excl. China and India),,2052,,172492510
Asia (excl. China and India),,2053,,177006500
Asia (excl. China and India),,2054,,181676100
Asia (excl. China and India),,2055,,186464300
Asia (excl. China and India),,2056,,191337700
Asia (excl. China and India),,2057,,196317100
Asia (excl. China and India),,2058,,201439710
Asia (excl. China and India),,2059,,206672320
Asia (excl. China and India),,2060,,212052100
China,CHN,2019,,94006104
China,CHN,2020,,93348000
China,CHN,2021,,96310800
