Latitude,Longitude,Location,Country
31.9375,120.2375,W6PP+XX Jingjiang,W6PP+XX Jingjiang
38.9875,117.7208333,China,China
53.1125,140.7041667,4P73+2M Nikolayevsk-on-Amur,4P73+2M Nikolayevsk-on-Amur
23.22083333,90.62916667,6JCH+8M Rajrajeshwar,6JCH+8M Rajrajeshwar
34.4625,119.7791667,FQ7H+2M Yanweigangzhen,FQ7H+2M Yanweigangzhen
22.39583333,113.2541667,97W3+8M Xinhui District,97W3+8M Xinhui District
37.77083333,119.1708333,8P9XQ5CC+88,8P9XQ5CC+88
23.9375,68.59583333,7JMCWHPW+X8,7JMCWHPW+X8
9.6125,106.2541667,J763+XM Cù Lao Dung District,J763+XM Cù Lao Dung District
31.35416667,121.5125,9G36+MX Baoshan,9G36+MX Baoshan
31.27916667,32.24583333,76JW+56P,76JW+56P
16.3625,95.0375,926Q+X2 Kanazogyaung,926Q+X2 Kanazogyaung
20.3125,106.5291667,8G6H+XM Giao Thủy District,8G6H+XM Giao Thủy District
40.97083333,121.8291667,8QG3XRCH+8M,8QG3XRCH+8M
-0.670833333,-51.07916667,8WHC+M8 Ipixuna - Curumu,8WHC+M8 Ipixuna - Curumu
6.420833333,3.404166667,19 Adeola Odeku,19 Adeola Odeku
40.70416667,122.1625,P537+M2 Xishi District,P537+M2 Xishi District
29.99583333,48.4625,XFW7+82 Nahr-e Azraq,XFW7+82 Nahr-e Azraq
4.820833333,8.254166667,R7C3+8M Oron,R7C3+8M Oron
-33.9375,-58.52083333,48R33F6H+XM,48R33F6H+XM
34.1125,120.3291667,486H+XM Liuduo Town,486H+XM Liuduo Town
11.07083333,-74.84583333,35C3+8M Barranquilla,35C3+8M Barranquilla
-0.2625,42.62916667,PJPH+XM Somalia,PJPH+XM Somalia
38.09583333,118.0375,32WQ+82 Dongfenggang Town,32WQ+82 Dongfenggang Town
6.970833333,79.87083333,291 Modera St,291 Modera St
10.50416667,106.7541667,GQ33+MM Cần Giờ,GQ33+MM Cần Giờ
37.27916667,118.9625,7XH6+MX Yangkou Town,7XH6+MX Yangkou Town
23.04583333,113.5208333,12 Xin Gang Lu,12 Xin Gang Lu
20.70416667,106.6458333,PJ3W+M8 Tiên Lãng,PJ3W+M8 Tiên Lãng
14.57916667,120.9791667,533E Unted Nation Avenue,533E Unted Nation Avenue
-7.0625,112.6375,WJPP+XX Manyarejo,WJPP+XX Manyarejo
13.6125,100.5625,JH66+XX Bang Prong,JH66+XX Bang Prong
20.02916667,106.1125,24H7+M2 Nghĩa Hưng District,24H7+M2 Nghĩa Hưng District
16.55416667,97.6625,HM37+M2 Ga doe,HM37+M2 Ga doe
4.545833333,7.529166667,GGWH+8M Ikot Abasi,GGWH+8M Ikot Abasi
13.4875,100.9875,FXPQ+X2 Tha Kham,FXPQ+X2 Tha Kham
31.15416667,29.84583333,5R3W+J5G,5R3W+J5G
38.2375,117.9291667,8PCV6WQH+2M,8PCV6WQH+2M
31.5125,31.82916667,GR7H+2J5,GR7H+2J5
30.3875,120.6208333,9JQC+28 Dingqiaozhen,9JQC+28 Dingqiaozhen
23.45416667,116.8541667,FV33+MM Chenghai District,FV33+MM Chenghai District
6.5875,79.9625,32 Sir Cyril De Zoysa Mawatha,32 Sir Cyril De Zoysa Mawatha
31.44583333,30.3875,C9WP+2M6,C9WP+2M6
10.47916667,106.7208333,FPHC+M8 Gò Công Đông District,FPHC+M8 Gò Công Đông District
31.5875,31.17916667,H5QH+2M Burullus,H5QH+2M Burullus
47.07916667,39.2625,37H6+MX Kagal'nik,37H6+MX Kagal'nik
51.9625,4.154166667,Maeslantkeringweg 7,Maeslantkeringweg 7
-7.5625,112.8708333,CVPC+X8 Tanjungsari,CVPC+X8 Tanjungsari
21.3875,110.7458333,9PQW+28 Wuchuan,9PQW+28 Wuchuan
24.80416667,67.07916667,M110/3 Saadi Lane -6,M110/3 Saadi Lane -6
15.72916667,-88.2375,PQH7+M2 Chinook,PQH7+M2 Chinook
23.09583333,113.4041667,3CW3+8M Haizhu District,3CW3+8M Haizhu District
38.69583333,125.5625,MHW6+8X Chido-dong,MHW6+8X Chido-dong
25.1625,121.4375,5C6P+XX Taiwan,5C6P+XX Taiwan
4.529166667,6.670833333,GMHC+M8 Sego Creek,GMHC+M8 Sego Creek
13.52916667,100.2625,โรงเรียนอันนาลัย Tambon Tha Chalom,โรงเรียนอันนาลัย Tambon Tha Chalom
45.24583333,29.69583333,8GQF6MWW+88,8GQF6MWW+88
37.09583333,119.4708333,3FWC+88 Xiaying Town,3FWC+88 Xiaying Town
36.1875,120.1291667,54PH+XM Chengyang District,54PH+XM Chengyang District
39.3125,49.37083333,896C+X8 İkinci Mayak,896C+X8 İkinci Mayak
28.02916667,120.7041667,2PH3+MM Yongjia County,2PH3+MM Yongjia County
39.1125,117.7291667,4P7H+2M Beitang Residential District,4P7H+2M Beitang Residential District
5.9125,5.270833333,W76C+X8 Gwato Creek,W76C+X8 Gwato Creek
36.04583333,35.9625,2XW7+82 Samandağ/Hatay,2XW7+82 Samandağ/Hatay
24.42916667,117.8458333,CRHW+M8 Haicheng,CRHW+M8 Haicheng
16.7125,82.24583333,P67W+28 Yanam,P67W+28 Yanam
14.04583333,-16.57916667,2CWC+88 Diamniadio,2CWC+88 Diamniadio
7.595833333,79.7875,HQWP+3J,HQWP+3J
14.77083333,120.6458333,QJCW+88 Macabebe,QJCW+88 Macabebe
18.5625,-92.67083333,H86H+XM Frontera,H86H+XM Frontera
23.4375,116.5125,CGP6+XX Chaoyang,CGP6+XX Chaoyang
37.12916667,119.1875,45HP+MX Yangzi Residential District,45HP+MX Yangzi Residential District
19.77083333,105.8541667,QVC3+8M Quảng Xương District,QVC3+8M Quảng Xương District
22.74583333,89.52916667,PGWH+8M Batiaghata,PGWH+8M Batiaghata
5.9125,5.295833333,W76W+X8 Palmas Point,W76W+X8 Palmas Point
22.30416667,88.10416667,8434+J55,8434+J55
5.254166667,-4.004166667,7X3W+M85,7X3W+M85
26.0625,119.5125,3G76+4J5,3G76+4J5
8.4625,81.24583333,F67W+28 Navaladitottam,F67W+28 Navaladitottam
18.72083333,105.7541667,PQC3+8M Nghi Xuân,PQC3+8M Nghi Xuân
3.004166667,101.3791667,PT 29718,PT 29718
-29.22916667,31.4875,QFCQ+82 Macambini,QFCQ+82 Macambini
24.07916667,67.65416667,3MH3+MM Kharo Chan,3MH3+MM Kharo Chan
20.62083333,106.6458333,JJCW+88 Thụy Trường,JJCW+88 Thụy Trường
4.545833333,7.9875,GXWQ+39P,GXWQ+39P
31.40416667,30.75416667,CQ33+MM Sidi Salem,CQ33+MM Sidi Salem
7.270833333,79.84583333,7RCW+C22,7RCW+C22
9.929166667,106.4625,WFH6+MX Châu Thành District,WFH6+MX Châu Thành District
9.095833333,105.5041667,3GW3+8M Dong Hai,3GW3+8M Dong Hai
30.14583333,120.6625,4MW7+82 Ma'an Neighborhood,4MW7+82 Ma'an Neighborhood
6.3625,2.4375,LOT 139 Varango,LOT 139 Varango
